style_id,upc_num,gender,collection,size,description,wholesale_price,retail_price,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty
ES4778,796483495951,Ladies,Sadie,38,FOSSIL / LADIES / SADIE 38MM,65.0,130,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Deployment,White,Quartz,50m - 160ft - 5atm,10000.0
ES4779,796483495968,Ladies,Sadie,38,FOSSIL / LADIES / SADIE 38MM,75.0,150,Rose Gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Deployment,Pink,Quartz,50m - 160ft - 5atm,10000.0
ES4780,796483495975,Ladies,Sadie,38,FOSSIL / LADIES / SADIE 38MM,75.0,150,Gold,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Deployment,Gold,Quartz,50m - 160ft - 5atm,10000.0
ES4781,796483495982,Ladies,Sadie,38,FOSSIL / LADIES / SADIE 38MM,75.0,150,Silver,Japan - JP,2 - Year International Limited Warranty,Two-Tone,Stainless Steel,Stainless Steel,Deployment,White,Quartz,50m - 160ft - 5atm,10000.0
ES4782,796483481992,Ladies,Izzy,35,FOSSIL / LADIES / IZZY 35MM,80.0,160,Rose Gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Rose Gold,Quartz,50m - 160ft - 5atm,10000.0
ES4783,796483482005,Ladies,Izzy,35,FOSSIL / LADIES / IZZY 35MM,64.5,129,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,Silver,Quartz,50m - 160ft - 5atm,10000.0
ES4784,796483482814,Ladies,Izzy,35,FOSSIL / LADIES / IZZY 35MM,80.0,160,Silver,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Fold-Over,Silver,Quartz,50m - 160ft - 5atm,10000.0
ES4785,796483495999,Ladies,Sadie,38,FOSSIL / LADIES / SADIE 38MM,65.0,130,Rose Gold,Japan - JP,2 - Year International Limited Warranty,Nude,Leather,Stainless Steel,Buckle,White,Quartz,50m - 160ft - 5atm,10000.0
ES4791,796483478985,Ladies,Daisy,34,FOSSIL / LADIES / DAISY 34MM,65.0,130,Silver,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Silver,Quartz,50m - 160ft - 5atm,10000.0
ES4792,796483478992,Ladies,Daisy,34,FOSSIL / LADIES / DAISY 34MM,59.5,119,Silver,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Fold-Over,Silver,Quartz,50m - 160ft - 5atm,10000.0
ES4793,796483478961,Ladies,Daisy,34,FOSSIL / LADIES / DAISY 34MM,65.0,130,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless Steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0
ES4794,796483478954,Ladies,Daisy,34,FOSSIL / LADIES / DAISY 34MM,65.0,130,Silver,Japan - JP,2 - Year International Limited Warranty,Nude,Leather,Stainless Steel,Buckle,Silver,Quartz,50m - 160ft - 5atm,10000.0
ES4795,796483478978,Ladies,Daisy,34,FOSSIL / LADIES / DAISY 34MM,59.5,119,Blue,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,Blue,Quartz,50m - 160ft - 5atm,10000.0
ES4810,796483480704,Ladies,Jacqueline,36,FOSSIL / LADIES / JACQUELINE 36MM,59.5,119,Blue,Japan - JP,2 - Year International Limited Warranty,Blue,Leather,Stainless Steel,Buckle,Blue,Quartz,50m - 160ft - 5atm,10000.0
ES4813,796483489813,Ladies,Jacqueline,14,FOSSIL / LADIES / JACQUELINE 36MM,64.5,129,Green,Japan - JP,2 - Year International Limited Warranty,Green,Leather,Stainless Steel,Buckle,Green,Quartz,30m - 100ft - 3atm,10000.0
ES4814,796483489806,Ladies,Jacqueline,14,FOSSIL / LADIES / JACQUELINE 36MM,64.5,129,Purple,Japan - JP,2 - Year International Limited Warranty,Purple,Leather,Stainless Steel,Buckle,Purple,Quartz,30m - 100ft - 3atm,10000.0
