style_id,retail_price,upc_num,description,collection,case,gender,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,qt_sales_order,total_sales_2022,qt_on_hand,monthly_avg_2022
ES5149,139.0,796483557413,FOSSIL / LADIES / SCARLETTE MINI 32MM,SCARLETTE MINI,32MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,1.0,0.0,15.0,3.0,3.75
ES5150,139.0,796483557420,FOSSIL / LADIES / SCARLETTE MICRO 28MM,SCARLETTE MICRO,28MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,11.0,0.0,0.0,14.0,19.0,3.5
FS4357,169.0,691464216504,FOSSIL / MENS / MENS OTHER, MENS OTHER,45MM,MENS,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS4487,149.0,691464419547,FOSSIL / MENS / MACHINE,MACHINE,45MM,MEN,No status reported,83.0,130.0,205.0,326.0,176.0,104.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS4487IE,149.0,796483423152,FOSSIL / MENS / MACHINE 45MM,MACHINE,45MM,MENS,2019H4,0.0,0.0,0.0,0.0,0.0,43.0,36.0,8.0,4.0,9.0,4.0,3.0,25.0,42.0,6.25
FS4552,169.0,691464571498,FOSSIL / MENS / MACHINE,MACHINE,45MM,MEN,No status reported,71.0,144.0,137.0,303.0,164.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
FS4552IE,169.0,796483423145,FOSSIL / MENS / MACHINE 45MM,MACHINE,45MM,MENS,2019H4,0.0,0.0,0.0,0.0,0.0,19.0,85.0,1.0,4.0,6.0,2.0,3.0,13.0,41.0,3.25
FS4656,159.0,691464760861,FOSSIL / MENS / MACHINE,MACHINE,42MM,MEN,No status reported,69.0,125.0,355.0,476.0,138.0,34.0,20.0,10.0,31.0,29.0,0.0,0.0,70.0,0.0,17.5
FS4656IE,159.0,796483423138,FOSSIL / MENS / MACHINE 42MM,MACHINE,42MM,MENS,2019H4,0.0,0.0,0.0,0.0,0.0,75.0,164.0,0.0,0.0,7.0,0.0,15.0,7.0,37.0,1.75
FS4662,169.0,691464761073,FOSSIL / MENS / MACHINE,MACHINE,45MM,MEN,No status reported,50.0,148.0,161.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
